# bin=100 r=1000 t=7  
#energy -1.34307 2.67565
0.01 153.01 131.864
0.21 143.679 86.3265
0.41 137.89 75.211
0.61 133.536 68.7453
0.81 130.013 64.173
1.01 127.043 60.6308
1.21 124.471 57.7388
1.41 122.2 55.2963
1.61 120.165 53.1839
1.81 118.321 51.325
2.01 116.636 49.6669
2.21 115.082 48.1724
2.41 113.642 46.813
2.61 112.299 45.5686
2.81 111.041 44.4219
3.01 109.858 43.3595
3.21 108.741 42.3714
3.41 107.683 41.4482
3.61 106.678 40.5828
3.81 105.721 39.7689
4.01 104.807 39.0013
4.21 103.933 38.2757
4.41 103.095 37.588
4.61 102.29 36.9353
4.81 101.516 36.3135
5.01 100.77 35.7213
5.21 100.051 35.1556
5.41 99.3553 34.6146
5.61 98.6825 34.0971
5.81 98.0315 33.6007
6.01 97.4002 33.1237
6.21 96.7874 32.6652
6.41 96.1921 32.2241
6.61 95.6135 31.7991
6.81 95.0504 31.3895
7.01 94.502 30.9929
7.21 93.9673 30.6119
7.41 93.4458 30.2423
7.61 92.9395 29.8874
7.81 92.4401 29.539
8.01 91.9544 29.2035
8.21 91.4794 28.8782
8.41 91.0149 28.5629
8.61 90.5594 28.2559
8.81 90.1148 27.959
9.01 89.6762 27.6671
9.21 89.2508 27.3883
9.41 88.8313 27.1135
9.61 88.4199 26.8481
9.81 88.0163 26.5886
10.01 87.6193 26.3357
10.21 87.2295 26.0891
10.41 86.8461 25.8482
10.61 86.4703 25.6134
10.81 86.0996 25.3844
11.01 85.7363 25.1603
11.21 85.3784 24.942
11.41 85.0321 24.7143
11.61 84.6789 24.5196
11.81 84.3367 24.3152
12.01 84.0057 24.1073
12.21 83.6686 23.9196
12.41 83.3421 23.7286
12.61 83.0215 23.5413
12.81 82.7015 23.3575
13.01 82.3887 23.1774
13.21 82.0798 23.0009
13.41 81.7742 22.8293
13.61 81.4735 22.6593
13.81 81.1766 22.4927
14.01 80.8837 22.3292
14.21 80.5932 22.1705
14.41 80.3074 22.0132
14.61 80.0255 21.8589
14.81 79.7472 21.7079
15.01 79.4694 21.5585
15.21 79.1975 21.4128
15.41 78.9281 21.2699
15.61 78.6613 21.1289
15.81 78.4071 20.9942
16.01 78.1383 20.8545
16.21 77.8803 20.7203
16.41 77.6262 20.5886
16.61 77.3739 20.4597
16.81 77.1275 20.3305
17.01 76.8781 20.2066
17.21 76.6331 20.0831
17.41 76.3919 19.9615
17.61 76.152 19.8424
17.81 75.9068 19.7223
18.01 75.6805 19.609
18.21 75.4478 19.494
18.41 75.2181 19.3819
18.61 74.9899 19.2707
18.81 74.7655 19.1614
19.01 74.5298 19.0375
19.21 74.3206 18.9484
19.41 74.0997 18.8442
19.61 73.882 18.7407
19.81 73.6662 18.6394
20.01 73.4534 18.5387
20.21 73.2431 18.4427
20.41 73.0335 18.3436
