# bin=100 r=1000 t=8  
# energy = 0.0931838 0.231584
0.01 29.1833 339.725
0.21 64.4428 188.278
0.41 69.1754 144.964
0.61 71.1211 122.224
0.81 72.118 107.62
1.01 72.6704 97.216
1.21 72.9782 89.3151
1.41 73.1372 83.0483
1.61 73.1997 77.9182
1.81 73.1964 73.6168
2.01 73.1468 69.9415
2.21 73.0635 66.7534
2.41 72.9557 63.9524
2.61 72.8288 61.4661
2.81 72.688 59.2393
3.01 72.5365 57.2292
3.21 72.3765 55.4029
3.41 72.2103 53.7336
3.61 72.0391 52.1999
3.81 71.8642 50.7839
4.01 71.6866 49.4715
4.21 71.5067 48.2505
4.41 71.3256 47.1108
4.61 71.1431 46.0435
4.81 70.9607 45.041
5.01 70.7776 44.0973
5.21 70.5946 43.2064
5.41 70.4116 42.3635
5.61 70.2285 41.5649
5.81 70.0465 40.807
6.01 69.8653 40.0856
6.21 69.6848 39.398
6.41 69.505 38.7418
6.61 69.3261 38.1148
6.81 69.148 37.5147
7.01 68.972 36.9387
7.21 68.7949 36.3875
7.41 68.6199 35.8571
7.61 68.4463 35.3513
7.81 68.273 34.8567
8.01 68.1012 34.3836
8.21 67.9305 33.9273
8.41 67.7607 33.4872
8.61 67.592 33.0607
8.81 67.4246 32.6505
9.01 67.2582 32.2488
9.21 67.0931 31.8672
9.41 66.9298 31.4928
9.61 66.766 31.1317
9.81 66.6042 30.7806
10.01 66.4428 30.4394
10.21 66.2827 30.1078
10.41 66.1236 29.785
10.61 65.9664 29.472
10.81 65.8087 29.1669
11.01 65.6538 28.8701
11.21 65.4991 28.5814
11.41 65.3626 28.2893
11.61 65.1924 28.025
11.81 65.0402 27.7567
12.01 64.9013 27.49
12.21 64.7398 27.2398
12.41 64.5908 26.9911
12.61 64.4442 26.7484
12.81 64.295 26.5093
13.01 64.1494 26.2766
13.21 64.0044 26.0489
13.41 63.8584 25.8271
13.61 63.7155 25.6088
13.81 63.5732 25.3951
14.01 63.432 25.1859
14.21 63.2892 24.9822
14.41 63.1494 24.7814
14.61 63.0106 24.585
14.81 62.8725 24.3929
15.01 62.7333 24.2025
15.21 62.5968 24.0178
15.41 62.4601 23.8365
15.61 62.3241 23.6578
15.81 62.1955 23.4894
16.01 62.0559 23.3113
16.21 61.9224 23.142
16.41 61.7905 22.9763
16.61 61.658 22.8139
16.81 61.5312 22.6529
17.01 61.3971 22.496
17.21 61.2668 22.3409
17.41 61.1383 22.1888
17.61 61.0091 22.0394
17.81 60.875 21.8875
18.01 60.7542 21.7476
18.21 60.6281 21.6041
18.41 60.5025 21.4642
18.61 60.3775 21.3256
18.81 60.2545 21.1898
19.01 60.1311 21.0364
19.21 60.0073 20.9247
19.41 59.8832 20.7948
19.61 59.7615 20.6663
19.81 59.6397 20.5404
20.01 59.5202 20.4159
20.21 59.3995 20.2965
20.41 59.2816 20.1742
20.61 59.1595 20.0544
20.81 59.0422 19.9366
21.01 58.9239 19.821
21.21 58.8071 19.7075
21.41 58.6886 19.5947
21.61 58.5764 19.4825
21.81 58.4593 19.3719
22.01 58.3425 19.267
22.21 58.2274 19.1591
22.41 58.114 19.0545
22.61 58.0005 18.9505
22.81 57.8859 18.8478
23.01 57.7755 18.7462
23.21 57.6574 18.6485
23.41 57.5477 18.5496
23.61 57.44 18.4496
23.81 57.3281 18.3546
24.01 57.2185 18.2585
24.21 57.1088 18.1646
24.41 56.999 18.0726
24.61 56.8911 17.9797
24.81 56.7812 17.8909
25.01 56.6826 17.7928
