# bin=100 r=1000 t=8  
# energy = -0.142119 2.34437
0.01 62.4757 258.278
0.21 66.57 172.612
0.41 68.2502 149.201
0.61 69.147 135.01
0.81 69.6861 124.854
1.01 70.0231 116.984
1.21 70.2325 110.59
1.41 70.3552 105.227
1.61 70.4163 100.626
1.81 70.4321 96.6113
2.01 70.4136 93.0596
2.21 70.3685 89.8838
2.41 70.3029 87.0178
2.61 70.2205 84.4126
2.81 70.125 82.0287
3.01 70.0189 79.835
3.21 69.9039 77.8067
3.41 69.7819 75.9231
3.61 69.6539 74.1671
3.81 69.5211 72.5241
4.01 69.3844 70.9824
4.21 69.2443 69.5318
4.41 69.1016 68.1631
4.61 68.9565 66.8689
4.81 68.8102 65.642
5.01 68.662 64.4771
5.21 68.5129 63.3686
5.41 68.3627 62.3118
5.61 68.2115 61.3036
5.81 68.0603 60.3402
6.01 67.909 59.4174
6.21 67.7574 58.5326
6.41 67.6057 57.6835
6.61 67.4541 56.8676
6.81 67.3025 56.083
7.01 67.1521 55.3259
7.21 67.0001 54.5985
7.41 66.8495 53.8953
7.61 66.6993 53.2217
7.81 66.5493 52.5606
8.01 66.4 51.9258
8.21 66.2511 51.3112
8.41 66.1026 50.7164
8.61 65.9548 50.1381
8.81 65.8076 49.5801
9.01 65.6612 49.0318
9.21 65.5152 48.5094
9.41 65.3707 47.9953
9.61 65.2253 47.4983
9.81 65.0815 47.0137
10.01 64.9378 46.5416
10.21 64.7949 46.0816
10.41 64.6527 45.6328
10.61 64.5119 45.1965
10.81 64.3705 44.7702
11.01 64.2313 44.3547
11.21 64.092 43.9497
11.41 63.9697 43.5374
11.61 63.8153 43.1668
11.81 63.6778 42.7881
12.01 63.5525 42.4099
12.21 63.4057 42.0566
12.41 63.2704 41.7037
12.61 63.1372 41.3587
12.81 63.0015 41.0183
13.01 62.8689 40.6865
13.21 62.7366 40.3612
13.41 62.6032 40.0441
13.61 62.4726 39.7313
13.81 62.3424 39.4247
14.01 62.2132 39.124
14.21 62.0821 38.8311
14.41 61.9538 38.5419
14.61 61.8263 38.2585
14.81 61.6993 37.9811
15.01 61.5713 37.7057
15.21 61.4455 37.4382
15.41 61.3194 37.1754
15.61 61.194 36.9162
15.81 61.075 36.6712
16.01 60.9461 36.4125
16.21 60.8227 36.1659
16.41 60.7006 35.9243
16.61 60.5778 35.6873
16.81 60.4604 35.4518
17.01 60.3359 35.2227
17.21 60.2149 34.9957
17.41 60.0956 34.7728
17.61 59.9755 34.5537
17.81 59.8508 34.3311
18.01 59.7383 34.1251
18.21 59.6209 33.9141
18.41 59.5038 33.7082
18.61 59.3872 33.504
18.81 59.2725 33.3037
19.01 59.1583 33.0768
19.21 59.0417 32.9123
19.41 58.9256 32.7204
19.61 58.8119 32.5302
19.81 58.6979 32.3439
20.01 58.586 32.1593
20.21 58.4728 31.9824
20.41 58.3625 31.8008
20.61 58.248 31.6231
20.81 58.138 31.4479
21.01 58.027 31.276
21.21 57.9173 31.1071
21.41 57.806 30.9391
21.61 57.7007 30.7717
21.81 57.5906 30.6069
22.01 57.4806 30.4504
22.21 57.3723 30.2892
22.41 57.2656 30.1329
22.61 57.1586 29.9774
22.81 57.0507 29.8239
23.01 56.9467 29.6717
23.21 56.8351 29.5256
23.41 56.7316 29.3772
23.61 56.6302 29.227
23.81 56.5245 29.0845
24.01 56.4211 28.9402
24.21 56.3174 28.7991
24.41 56.2136 28.6607
24.61 56.1116 28.521
24.81 56.0076 28.3875
25.01 55.9149 28.2391
25.21 55.8073 28.1147
25.41 55.7025 27.9862
25.61 55.6038 27.8543
25.81 55.5017 27.7258
26.01 55.4018 27.5978
26.21 55.3033 27.4719
26.41 55.2027 27.3458
26.61 55.1049 27.2243
26.81 55.0063 27.0974
27.01 54.7185 27.2578
27.21 54.8068 26.8612
27.41 54.7141 26.7408
27.61 54.6142 26.6229
27.81 54.5188 26.5079
28.01 54.4222 26.3915
28.21 54.3266 26.2778
28.41 54.2293 26.1654
28.61 54.1359 26.0545
28.81 54.0399 25.9414
29.01 53.9426 25.8365
29.21 53.9882 25.7109
29.41 53.7601 25.6204
29.61 53.6635 25.5095
29.81 53.5688 25.4069
30.01 53.4781 25.302
30.21 53.3841 25.1976
30.41 53.2915 25.0965
30.61 53.1991 24.9943
30.81 53.1087 24.8948
31.01 53.0179 24.7932
31.21 52.9238 24.6953
31.41 52.836 24.6007
31.61 52.7539 24.494
31.81 52.6635 24.4082
32.01 52.5652 24.3064
32.21 52.4732 24.2157
32.41 52.387 24.1227
32.61 52.298 24.028
32.81 52.2076 23.9366
33.01 52.1202 23.8466
33.21 52.0313 23.7555
33.41 51.9448 23.6668
33.61 51.8585 23.5766
33.81 51.7691 23.4877
34.01 51.6811 23.4031
34.21 51.5997 23.3176
34.41 51.5188 23.221
34.61 51.4366 23.1509
34.81 51.3415 23.0563
35.01 51.2508 22.9747
35.21 51.1669 22.8943
35.41 51.0846 22.8112
35.61 50.9995 22.7278
35.81 50.9134 22.6471
36.01 50.8295 22.5679
36.21 50.7459 22.4867
36.41 50.6618 22.4087
36.61 50.58 22.3309
36.81 50.4986 22.2517
37.01 50.4143 22.1727
37.21 50.3283 22.0971
37.41 50.2462 22.0255
37.61 50.1776 21.9546
37.81 50.0655 21.8796
38.01 50.0052 21.8019
38.21 49.9269 21.7235
38.41 49.8435 21.648
38.61 49.76 21.576
38.81 49.6792 21.5056
39.01 49.6007 21.4346
39.21 49.5221 21.3628
