# bin=70 r=1000 t=9 
#energy -0.060061 0.783213
0.01 59.6396 222.491
0.21 56.383 169.601
0.41 55.9005 151.257
0.61 55.8698 139.697
0.81 55.9708 131.267
1.01 56.1124 124.657
1.21 56.2614 119.238
1.41 56.4045 114.66
1.61 56.5363 110.706
1.81 56.6549 107.234
2.01 56.7599 104.144
2.21 56.8518 101.363
2.41 56.9315 98.8393
2.61 56.9994 96.5307
2.81 57.0569 94.4059
3.01 57.1047 92.4388
3.21 57.1434 90.6092
3.41 57.1741 88.9001
3.61 57.1973 87.2975
3.81 57.2137 85.7892
4.01 57.2238 84.3658
4.21 57.2281 83.0188
4.41 57.2272 81.7411
4.61 57.2212 80.5258
4.81 57.2112 79.3681
5.01 57.1967 78.2627
5.21 57.1785 77.2053
5.41 57.1567 76.1918
5.61 57.1313 75.2197
5.81 57.103 74.2868
6.01 57.0722 73.3889
6.21 57.0386 72.5238
6.41 57.0026 71.6894
6.61 56.9643 70.8843
6.81 56.9238 70.1063
7.01 56.8822 69.3531
7.21 56.8371 68.6247
7.41 56.7911 67.9183
7.61 56.7428 67.2398
7.81 56.6942 66.5693
8.01 56.6437 65.9237
8.21 56.5918 65.2962
8.41 56.5385 64.6864
8.61 56.4843 64.0911
8.81 56.4287 63.5151
9.01 56.3731 62.9462
9.21 56.3148 62.4035
9.41 56.2574 61.8675
9.61 56.1974 61.3465
9.81 56.1375 60.8375
10.01 56.0765 60.3394
10.21 56.015 59.8526
10.41 55.9528 59.376
10.61 55.8905 58.912
10.81 55.8267 58.4563
11.01 55.7635 58.0119
11.21 55.699 57.5769
11.41 55.6499 57.1427
11.61 55.5688 56.7322
11.81 55.503 56.3217
12.01 55.4473 55.9179
12.21 55.3708 55.5262
12.41 55.3038 55.1409
12.61 55.2376 54.7642
12.81 55.1689 54.3891
13.01 55.1017 54.0243
13.21 55.0341 53.6655
13.41 54.9645 53.3141
13.61 54.8967 52.9677
13.81 54.8285 52.6273
14.01 54.7604 52.2927
14.21 54.6897 51.9648
14.41 54.6209 51.6415
14.61 54.5521 51.3241
14.81 54.4829 51.0128
15.01 54.4127 50.7018
15.21 54.3432 50.4003
15.41 54.2729 50.103
